source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,0.0,5.0,0,43,False,True,636,43,2,34,34,30,0.0001,L2,0.001,1.12,,0.92,,-1.11022302463e-16,29.0,0.92
GQ,True,2.0,5.0,1000,46,False,True,403,46,2,42,42,30,0.1,L1,0.1,0.89,,0.71,,0.0,29.0,0.71
GQ,True,2.0,50.0,0,44,False,True,2204,44,2,30,30,30,0.001,L1,0.1,3.27,,0.75,,0.0,29.0,0.75
GQ,True,1.0,50.0,100,92,False,True,2334,92,2,64,64,30,0.0001,L2,0.0001,3.57,,0.71,,0.0,29.0,0.71
GQ,True,2.0,20.0,0,47,True,True,632,47,2,14,14,70,0.01,L2,0.1,2.8,,0.74,,0.0,69.0,0.74
GQ,True,2.0,5.0,0,36,False,True,403,36,2,25,25,10,0.01,L1,0.0001,1.63,,0.73,,1.11022302463e-16,8.0,0.73
GQ,True,0.0,50.0,100,86,False,True,2436,86,2,65,65,10,0.01,L2,0.01,8.7,,0.83,,1.11022302463e-16,8.0,0.83
GQ,True,0.0,20.0,0,56,False,True,1688,56,2,51,51,10,0.01,L1,0.01,5.85,,0.73,,1.11022302463e-16,8.0,0.73
GQ,True,0.0,100.0,100,6,False,True,2751,6,2,5,5,10,0.01,L2,0.0001,9.59,,0.76,,-1.11022302463e-16,9.0,0.76
GQ,True,0.0,20.0,1000,42,False,True,1688,42,2,23,23,10,0.1,L2,0.1,5.89,,0.84,,1.11022302463e-16,8.0,0.84
GQ,True,2.0,20.0,0,30,False,True,1456,30,2,22,22,10,1.0,L1,0.1,5.11,,0.72,,-1.11022302463e-16,9.0,0.72
GQ,True,0.0,10.0,100,21,False,True,1218,21,2,1,1,10,0.1,L2,0.1,4.23,,0.71,,-1.11022302463e-16,9.0,0.71
GQ,True,0.0,20.0,1000,10,False,True,1688,10,2,8,8,10,0.01,L2,0.1,5.88,,0.89,,0.0,9.0,0.89
GQ,True,0.0,50.0,100,9,False,True,2436,9,2,5,5,10,0.01,L2,0.001,8.47,,0.67,,1.11022302463e-16,8.0,0.67
GQ,True,2.0,50.0,100,80,False,True,2204,80,2,8,8,10,0.001,L2,0.001,7.8,,0.81,,1.11022302463e-16,8.0,0.81
GQ,True,1.0,20.0,100,69,False,True,1586,69,2,27,27,10,0.0001,L2,0.1,1.42,,0.79,,1.11022302463e-16,8.0,0.79
GQ,True,0.0,50.0,1000,59,False,True,2436,59,2,2,2,10,0.001,L1,0.1,2.08,,0.73,,0.0,9.0,0.73
GQ,True,1.0,20.0,100,2,False,True,1586,2,2,1,1,10,0.01,L2,0.0001,1.38,,0.75,,0.0,9.0,0.75
GQ,True,1.0,5.0,1000,63,False,True,534,63,2,10,10,10,0.01,L2,0.1,0.47,,0.75,,0.0,9.0,0.75
GQ,True,0.0,100.0,1000,87,False,True,2751,87,2,24,24,10,0.01,L2,0.01,2.41,,0.7,,1.11022302463e-16,8.0,0.7
GQ,True,2.0,100.0,1000,16,False,True,2519,16,2,5,5,10,1.0,L2,0.001,2.16,,0.77,,1.11022302463e-16,8.0,0.77
GQ,True,0.0,5.0,0,58,False,True,636,58,2,5,5,10,0.1,L2,0.0001,0.57,,0.74,,0.0,9.0,0.74
GQ,True,0.0,50.0,0,80,False,True,2436,80,2,22,22,10,0.001,L1,0.001,2.13,,0.86,,1.11022302463e-16,8.0,0.86
GQ,True,0.0,10.0,0,44,False,True,1218,44,2,26,26,10,0.1,L1,0.01,1.01,,0.7,,0.0,9.0,0.7
GQ,True,0.0,100.0,100,11,False,True,2751,11,2,8,8,10,0.1,L1,0.0001,2.29,,0.81,,1.11022302463e-16,8.0,0.81
GQ,True,0.0,50.0,1000,68,False,True,2436,68,2,63,63,10,0.01,L2,0.001,2.64,,0.71,,1.11022302463e-16,8.0,0.71
