source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_derivative,last_mean_validation_loss_derivative,best_last_epoch,best_last_mean_validation_loss
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L1,0.001,0.65,0.69,0.69,-9.64912280703e-05,0.000173374613003,6.0,0.68
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L1,0.01,0.65,0.7,0.69,-9.5310391363e-05,-0.00032662538699699997,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.01,L1,0.1,0.64,0.74,0.67,-0.000584345479082,0.00019272445820400004,19.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L2,0.0001,0.66,0.78,0.88,-0.00240350877193,-0.00391795665635,19.0,0.88
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L2,0.001,0.65,0.69,0.69,6.8657219973e-05,6.34674922602e-05,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L2,0.01,0.65,0.7,0.69,-1.93994601889e-05,-5.4179566564300005e-06,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L2,0.1,0.65,0.74,0.67,-0.0004978070175440001,-1.00619195046e-05,19.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L1,0.0001,0.65,0.71,0.74,-0.000440958164642,-0.00118034055728,19.0,0.74
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L1,0.001,0.64,0.7,0.69,-0.000412449392713,0.00080572755418,5.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L1,0.01,0.7,0.7,0.69,-2.4628879891999995e-05,0.000113777089783,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,0.1,L1,0.1,0.68,0.73,0.67,-0.000264001349528,5.18575851395e-05,19.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L2,0.0001,0.72,0.71,0.67,-0.0005465587044530001,0.000357585139319,19.0,0.67
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L2,0.001,0.73,0.69,0.69,-3.91363022944e-05,0.000120743034056,2.0,0.68
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L2,0.01,0.76,0.7,0.69,-3.1713900135000004e-05,5.41795665632e-06,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L2,0.1,0.7,0.73,0.67,-0.000253542510122,9.98452012385e-05,4.0,0.66
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L1,0.0001,0.65,0.72,0.67,-0.00111184210526,0.000424148606811,14.0,0.66
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L1,0.001,0.64,0.69,0.69,-4.89203778676e-05,0.000126160990712,0.0,0.67
Q,True,0,50.0,0,10,2,1,1.0,20.0,0.0001,L2,0.0001,121.01,0.69,0.69,-6.50465290665e-05,-6.29676212591e-05,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L1,0.01,0.67,0.7,0.69,-1.14709851553e-05,-3.40557275542e-05,19.0,0.69
G,True,0,50.0,0,85,2,10,10.0,20.0,1.0,L1,0.1,0.65,0.72,0.67,6.0728744940599995e-06,-0.000259287925697,19.0,0.67
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L2,0.0001,0.68,0.77,0.68,-0.0020941295546600004,-0.000589009287926,19.0,0.68
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L2,0.001,0.67,0.7,0.7,-0.0001415317139,-6.34674922599e-05,19.0,0.7
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L2,0.01,0.78,0.69,0.68,-0.000928981106613,-0.0005750773993810001,19.0,0.68
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L2,0.1,0.73,0.59,0.72,-0.00861082995951,0.0131354489164,9.0,0.63
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L1,0.0001,0.74,0.74,0.81,-0.00157422402159,-0.00279566563468,19.0,0.81
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L1,0.001,0.8,0.71,0.69,-0.00034463562753,6.88854489164e-05,4.0,0.68
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L1,0.01,0.79,0.68,0.67,-0.00148599865047,-0.000946594427245,19.0,0.67
G,True,0,50.0,0,85,2,15,15.0,20.0,0.0001,L1,0.1,0.76,0.63,0.66,-0.0065023616734099995,0.0056726006192,11.0,0.62
G,True,0,50.0,0,85,2,15,15.0,20.0,0.001,L2,0.0001,0.72,0.7,0.7,-5.330634278e-05,-0.0002252321981420001,19.0,0.7
G,True,0,50.0,0,85,2,15,15.0,20.0,0.001,L2,0.001,0.73,0.7,0.7,-0.000151990553306,-0.000276315789474,19.0,0.7
G,True,0,50.0,0,85,2,15,15.0,20.0,0.001,L2,0.01,0.76,0.67,0.66,-0.00161167341431,-0.0008188854489169999,19.0,0.66
G,True,0,50.0,0,85,2,15,15.0,20.0,0.001,L2,0.1,0.75,0.64,0.64,-0.0048419365722,0.00231269349845,16.0,0.63
G,True,0,50.0,0,85,2,15,15.0,20.0,0.001,L1,0.0001,0.7,0.75,0.83,-0.00181241565452,-0.00318498452012,19.0,0.83
G,True,0,50.0,0,85,2,15,15.0,20.0,0.001,L1,0.001,0.72,0.69,0.69,-0.00014423076923100002,6.4241486068e-05,3.0,0.68
